"id";"name";"abbreviated_name";"is_abbreviated";"position";"is_department";"year";"ministry";"person_id"
1429;"Oluf Absalon Bogh";"O. A. Bogh";FALSE;"fuldmægtig";TRUE;1874;"indenrigsministeriet";338
1428;"F. C. H. E. Tobiesen";"F. C. H. E. Tobiesen";TRUE;"departementschef";TRUE;1874;"indenrigsministeriet";356
1427;"Johan Laurits Schou";"J. L. Schou";FALSE;"kontorchef";TRUE;1874;"indenrigsministeriet";354
1426;"Ludvig Christian Borup";"L. C. Borup";FALSE;"fuldmægtig";TRUE;1874;"indenrigsministeriet";292
1425;"Peter Christopher Nørgaard";"P. C. Nørgaard";FALSE;"fuldmægtig";TRUE;1874;"indenrigsministeriet";355
1437;"C. P. M. Bache";"C. P. M. Bache";TRUE;"departementschef";TRUE;1874;"indenrigsministeriet";328
344;"Carl Theodor Bruun";"C. T. Bruun";FALSE;"kontorchef";FALSE;1874;"finansministeriet";163
355;"Emil Vilhelm Dämon Hansen";"E. V. D. Hansen";FALSE;"fuldmægtig";FALSE;1874;"finansministeriet";325
346;"Hans Otto Hinrichsen";"H. O. Hinrichsen";FALSE;"fuldmægtig";FALSE;1874;"finansministeriet";359
374;"I. A. Hasselberg";"I. A. Hasselberg";TRUE;"kontorchef";TRUE;1874;"finansministeriet";203
375;"Arel Harald Baldwin Andersen";"A. H. B. Andersen";FALSE;"fuldmægtig";TRUE;1874;"finansministeriet";348
376;"Peter Mo Olesen";"P. M. Olesen";FALSE;"kontorchef";TRUE;1874;"finansministeriet";254
377;"Frederik Christian Lebet";"F. C. Lebet";FALSE;"fuldmægtig";TRUE;1874;"finansministeriet";291
378;"Christian Frederik Stub";"C. F. Stub";FALSE;"fuldmægtig";TRUE;1874;"finansministeriet";214
